cpu,num_downloads,python_version,pip_version,glibc_version,pip-major,pip-minor,glibc_major,glibc_minor,manylinux_2_27,manylinux_2_24,manylinux2014,manylinux2010,manylinux1,policy
s390x,98,3.7,21.0,2.31,21,0,2,31,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
i686,98,2.6,9.0,2.12,9,0,2,12,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
s390x,97,3.9,21.0,2.23,21,0,2,23,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
i686,97,3.6,10.0,2.12,10,0,2,12,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
i686,97,3.7,21.0,2.14,21,0,2,14,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
x86_64,97,2.7,20.3b1,2.15,20,3,2,15,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
i686,97,3.7,19.0,2.17,19,0,2,17,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
ppc64le,97,3.7,18.1,2.17,18,1,2,17,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
s390x,97,3.6,19.3,2.28,19,3,2,28,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,97,2.7,18.1,2.5,18,1,2,5,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
armv7l,96,3.9,18.1,2.28,18,1,2,28,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
x86_64,96,3.5,10.0,2.12,10,0,2,12,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
x86_64,96,3.8,20.1,2.5,20,1,2,5,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
x86_64,96,3.3,9.0,2.28,9,0,2,28,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
arm,96,3.8,20.2,2.28,20,2,2,28,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
i686,96,3.6,20.2,2.23,20,2,2,23,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,95,3.8,19.3,2.19,19,3,2,19,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
armv7l,95,3.6,20.0,2.17,20,0,2,17,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
aarch64,95,3.6,20.0,2.24,20,0,2,24,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,95,3.7,8.1,2.9,8,1,2,9,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
i686,95,2.7,20.3,2.29,20,3,2,29,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
x86_64,95,3.9,21.0,2.25,21,0,2,25,FALSE,TRUE,FALSE,FALSE,FALSE,manylinux_2_24
